Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de pessoas com hipertensão, com consulta e pressão arterial aferida no semestre"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q3 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
PA;150810;TUCURUÍ;1316;11162;12;11162;11669;76268;15.3;96;116605;
MG;315130;PIRAÚBA;1311;4329;30;4329;3395;12257;27.7;128;10732;
MA;211260;URBANO SANTOS;1312;5607;23;4144;5607;29054;19.3;74;33791;
SP;352620;JUQUITIBA;1314;8458;16;8458;6860;32359;21.2;123;31844;
AM;130010;ANORI;1315;2210;60;2210;2157;13483;16;102;21937;
PR;412780;TOMAZINA;1315;2710;49;2710;2123;9270;22.9;128;7699;
RN;240180;BREJINHO;1315;3868;34;3868;3316;15141;21.9;117;12873;
PB;250250;BOQUEIRÃO;1317;5003;26;5003;4686;18669;25.1;107;17934;
MT;510125;ARAPUTANGA;1319;3111;42;3111;3537;16373;21.6;88;17078;
SP;352440;JACAREÍ;13199;54881;24;44032;54881;226783;24.2;80;237119;
RN;241070;RIACHO DA CRUZ;132;866;15;866;722;3295;21.9;120;3648;
CE;231060;PENAFORTE;1321;2608;51;2608;2285;10728;21.3;114;9207;
PR;412860;VERÊ;1323;2236;59;2236;2107;9199;22.9;106;7094;
SC;420460;CRICIÚMA;13230;37080;36;37080;39962;169331;23.6;93;219393;
MG;311090;CAMPANHA;1324;4865;27;4865;4848;17500;27.7;100;16855;
PE;261040;PARNAMIRIM;1325;4251;31;4251;4634;19805;23.4;92;22198;
BA;293076;SÍTIO DO QUINTO;1317;3001;44;2405;3001;11909;25.2;80;9431;
AL;270280;FLEXEIRAS;1318;3053;43;3053;2824;11817;23.9;108;12823;
SP;355260;TABAPUÃ;1319;3541;37;3541;2917;12054;24.2;121;12561;
